epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
190.0,0.04,0.0,98.82,0.0,0.0,0.0,98.57,98.57,0.52,93.52,82.33,83.85,86.14,0.0,85.93,86.14,ERM,resnet32
177.0,0.05,0.0,98.38,0.0,0.0,0.0,98.37,98.36,0.51,92.59,84.06,84.59,86.78,0.0,86.6,86.78,ERM-RS,resnet32
189.0,0.07,0.0,98.01,0.0,0.0,0.0,98.01,98.0,0.5,92.15,82.33,84.96,86.07,0.0,85.9,86.07,ERM-SMOTE,resnet32
173.0,0.05,0.0,97.0,0.0,0.0,0.0,97.78,97.76,0.44,91.19,83.78,87.07,86.99,0.0,86.86,86.99,ERM-RW,resnet32
176.0,0.05,0.0,98.39,0.0,0.0,0.0,98.32,98.32,0.48,93.11,83.28,85.19,86.8,0.0,86.61,86.8,ERM-CBLoss,resnet32
175.0,0.05,0.0,98.56,0.0,0.0,0.0,98.57,98.57,0.45,92.78,83.69,87.67,87.61,0.0,87.43,87.61,ERM-DRS,resnet32
186.0,0.16,1.55,96.97,44.92,0.0,0.37,1.0,1.0,0.41,88.78,83.89,89.11,86.92,0.0,86.72,86.92,ERM-M2m,resnet32
165.0,0.05,0.0,97.43,0.0,0.0,0.0,96.87,96.86,0.46,92.41,81.56,82.74,85.17,0.0,84.91,85.17,Focal,resnet32
180.0,0.97,0.0,96.17,0.0,0.0,0.0,95.31,95.28,1.77,93.07,83.42,83.44,86.32,0.0,86.11,86.32,LDAM,resnet32_norm
174.0,0.92,0.0,95.83,0.0,0.0,0.0,95.16,95.13,1.76,92.22,82.53,85.15,86.22,0.0,86.0,86.22,LDAM-DRW,resnet32_norm
192.0,0.86,0.0,95.07,0.0,0.0,0.0,1.0,1.0,1.77,88.59,83.69,91.48,87.5,0.0,87.21,87.5,LDAM-M2m,resnet32_norm
